Road_ID,Road_Name,Road_Code,Road_Type,District,State,Last Maintenance Date,Start_Km,End_Km,Total_Length_Km,Tender_ID,Estimated Amount (in Crores),Budget Estimate (in Crores),Total Work Value
R360,Thittacherry - Thirumalairayanpattinam Road,MD-480,MDR,NAGAPATTINAM,Tamil Nadu,15 September 2025,0,3.4,3.4,2020_HWAY_161112_1,12.5,3.8,1.25
R361,Velankanni Church Road,MD-1011,MDR,NAGAPATTINAM,Tamil Nadu,28 May 2026,0,2.2,2.2,2020_HWAY_161208_1,8.9,2.6,1.6
R362,Mavoor - Sattiyakudy Road,MD-255,MDR,NAGAPATTINAM,Tamil Nadu,10 January 2026,5.4,7.2,1.8,2020_HWAY_161062_1,11.2,3.3,2.3
R363,Koothur Railway Feeder Road,MDR-214,MDR,NAGAPATTINAM,Tamil Nadu,22 March 2026,0,1.6,1.6,2020_HWAY_161038_1,3.1,0.9,0.55
R364,Nagapattinam - Velankanni Road,MD-283,MDR,NAGAPATTINAM,Tamil Nadu,05 November 2025,1.2,2.4,1.2,2020_HWAY_161060_1,19.4,5.9,1.85
R365,Abandoned Velankanni - Thiruthuraipoondi Road,MD-1280,MDR,NAGAPATTINAM,Tamil Nadu,17 February 2026,16.23,16.68,0.45,2021_HWAY_188456_1,15.6,4.7,4.1
R366,Abandoned Velankanni - Thiruthuraipoondi Road,MD-1280,MDR,NAGAPATTINAM,Tamil Nadu,17 February 2026,22.015,22.399,0.384,2021_HWAY_188456_1,15.6,4.7,4.1
R367,Abandoned Velankanni - Thiruthuraipoondi Road,MD-1280,MDR,NAGAPATTINAM,Tamil Nadu,17 February 2026,22.432,22.655,0.223,2021_HWAY_188456_1,15.6,4.7,4.1
R368,Tharangambady - Manganallur - Aduthurai Road,MD-708,MDR,MAYILADUTHURAI,Tamil Nadu,13 February 2026,0,36.6,36.6,2020_HWAY_166468_1,31.6,9.5,4.35
R369,Puthur - Pudupattinam - Palaiyar Road,MD-670,MDR,MAYILADUTHURAI,Tamil Nadu,26 September 2025,0,19.2,19.2,2020_HWAY_161095_1,18.4,5.6,3.6
R370,Sirkali - Thirumullaivasal - Koolaiyar Road,MD-426,MDR,MAYILADUTHURAI,Tamil Nadu,08 May 2026,0,19,19,2020_HWAY_161078_1,16.2,4.8,2.95
R371,Mappadugai - Kadalangudi Road,MD-1277,MDR,MAYILADUTHURAI,Tamil Nadu,20 November 2025,0,15.8,15.8,2021_HWAY_188415_1,11.5,3.4,1.9
R372,Mayiladuthurai - Pattavarthy Road,MD-257,MDR,MAYILADUTHURAI,Tamil Nadu,02 February 2026,0.2,13.2,13,2020_HWAY_161065_1,14.8,4.4,2.25
R373,Perumalai - Thillaiyadi - Thirukkadaiyur Road,MD-1278,MDR,MAYILADUTHURAI,Tamil Nadu,16 August 2025,0,11.6,11.6,2021_HWAY_188426_1,12.3,3.6,2.45
R374,Anaickranchatram - Mahendrapalli Road,MD-836,MDR,MAYILADUTHURAI,Tamil Nadu,29 March 2026,0,11.48,11.48,2021_HWAY_188115_1,13.9,4.1,1.65
R375,Kuthalam - Komal Road,MD-211,MDR,MAYILADUTHURAI,Tamil Nadu,11 December 2025,0,10,10,2020_HWAY_161035_1,12.6,3.8,1.8
R376,Sirkali - Panankattangudy Road,MD-425,MDR,MAYILADUTHURAI,Tamil Nadu,23 June 2025,0,9.8,9.8,2020_HWAY_161072_1,9.2,2.7,1.4
R377,Kondathur - Pagasalai Road,MD-1281,MDR,MAYILADUTHURAI,Tamil Nadu,05 April 2026,0,7.22,7.22,2021_HWAY_188490_1,7.4,2.2,1.15
R378,Kuthalam - Pandanallur Road,MD-213,MDR,MAYILADUTHURAI,Tamil Nadu,18 October 2025,0,5.8,5.8,2020_HWAY_166038_1,14.8,4.4,2.85
R379,Umayalpathi - Mathanam Road,MD-1279,MDR,MAYILADUTHURAI,Tamil Nadu,31 January 2026,0,5.442,5.442,2021_HWAY_188438_1,9.6,2.8,1.3
R380,Vaitheeswarankoil - Thennalakkudy Road,MD-1280,MDR,MAYILADUTHURAI,Tamil Nadu,14 September 2025,0,5.09,5.09,2021_HWAY_188456_1,11.4,3.5,4.1
R381,Annankoil - Nangoor Road,MD-1282,MDR,MAYILADUTHURAI,Tamil Nadu,27 May 2026,0,5.1,5.1,2021_HWAY_188495_1,8.5,2.5,1.85
R382,Kumbakonam - Sirkali Road (Link Road),MD-258,MDR,MAYILADUTHURAI,Tamil Nadu,09 January 2026,0,1,1,2020_HWAY_161068_1,13.2,3.9,1.4
R383,Akkur Railway Feeder Road,MD-7,MDR,MAYILADUTHURAI,Tamil Nadu,21 March 2026,0,0.8,0.8,2020_HWAY_161012_1,3.4,0.95,0.6
R384,Mayiladuthurai - Pattavarthy Road (Town Limit),MD-259,MDR,MAYILADUTHURAI,Tamil Nadu,04 November 2025,0.6,1.2,0.6,2020_HWAY_161066_1,6.8,2.1,0.95
R385,Kodavasal - Koradachery - Lakshmangudi - Mavoor Road,MD-609,MDR,TIRUVARUR,Tamil Nadu,17 February 2026,0,35.6,35.6,2020_HWAY_162098_1,40.68,20,4.6
R386,Koothanallur - Adichapuram - Kandamangalam - Vedapuram - Kalappal - Thiruthuraipoondi Road,MD-839,MDR,TIRUVARUR,Tamil Nadu,29 September 2025,0,32.9,32.9,2021_HWAY_187112_1,28.4,8.5,3.85
R387,Kodavasal - Valangaiman - Papanasam Road,MD-753,MDR,TIRUVARUR,Tamil Nadu,12 June 2025,0,23.2,23.2,2020_HWAY_162165_1,24.6,7.3,3.1
R388,Poonthottam - Nachiyarkoil Road,MD-370,MDR,TIRUVARUR,Tamil Nadu,11 February 2026,0,20.8,20.8,2020_HWAY_166162_1,21.4,6.4,3.15
R389,Mannargudi - Thirumakkottai - Chockanavoor Road,MD-840,MDR,TIRUVARUR,Tamil Nadu,24 September 2025,0,20.6,20.6,2021_HWAY_187118_1,19.8,5.9,2.45
R390,Kodavasal - Nannilam Road,MD-1268,MDR,TIRUVARUR,Tamil Nadu,06 May 2026,0,16.4,16.4,2021_HWAY_187410_1,14.5,4.3,2.9
R391,Muthupet - Voimedu Road,MD-640,MDR,TIRUVARUR,Tamil Nadu,18 November 2025,0,15.9,15.9,2020_HWAY_161098_1,26.4,8.1,5.2
R392,Kottur - Meenamanallur - Senganthi Road,MD-773,MDR,TIRUVARUR,Tamil Nadu,31 January 2026,0,14.2,14.2,2020_HWAY_162135_1,13.2,3.9,1.75
R393,Mannargudi - Moovanallur - Vaduvur Road,MD-1270,MDR,TIRUVARUR,Tamil Nadu,14 August 2025,0,13.4,13.4,2021_HWAY_187442_1,15.6,4.7,2.1
R394,Avoor - Avalivanallur Road,MD-1269,MDR,TIRUVARUR,Tamil Nadu,27 March 2026,0,11.8,11.8,2021_HWAY_187426_1,11.8,3.5,1.65
R395,Adhanur Mandapam - Vaduvur Road,MD-1271,MDR,TIRUVARUR,Tamil Nadu,09 December 2025,0,11.69,11.69,2021_HWAY_187456_1,12.2,3.6,1.3
R396,Thittai - Dharasuram Road,MD-720,MDR,TIRUVARUR,Tamil Nadu,21 June 2025,16.6,25.4,8.8,2020_HWAY_166525_1,16.8,4.9,4.15
R397,Mannargudy - Orathanadu - Thiruvonam Road,MD-248,MDR,TIRUVARUR,Tamil Nadu,04 April 2026,4.8,12.8,8,2020_HWAY_166210_1,28.5,8.3,4.8
R398,Kangalanchery - Vadakandam Road,MD-1272,MDR,TIRUVARUR,Tamil Nadu,16 October 2025,0,7.2,7.2,2021_HWAY_187465_1,9.4,2.8,2.35
R399,Ammapet - Vaduvur Road,MD-21,MDR,TIRUVARUR,Tamil Nadu,29 January 2026,7,13.7,6.7,2020_HWAY_166022_1,16.2,4.8,2.95
R400,Poonthottam - Karaikkal Road,MD-1008,MDR,TIRUVARUR,Tamil Nadu,12 September 2025,0,6,6,2020_HWAY_161205_1,22.5,6.8,4.1
R401,Andipandal - Nannilam Road,MD-762,MDR,TIRUVARUR,Tamil Nadu,25 May 2026,0,5.8,5.8,2020_HWAY_162150_1,13.8,4.1,1.9
R402,Mavoor - Sattiyakkudy Road,MD-255,MDR,TIRUVARUR,Tamil Nadu,08 January 2026,0,5.4,5.4,2020_HWAY_161062_1,11.2,3.3,2.3
R403,Vellakkudi - Pulivalam Road,MD-1273,MDR,TIRUVARUR,Tamil Nadu,20 March 2026,0,4.8,4.8,2021_HWAY_187478_1,11.4,3.4,3.1
R404,Muganthanur - Engan Road,MD-1275,MDR,TIRUVARUR,Tamil Nadu,03 November 2025,0,4.2,4.2,2021_HWAY_187495_1,8.9,2.6,1.45
R405,Thirunellikkaval - Kolappadu - Karunganni Road,MD-467,MDR,TIRUVARUR,Tamil Nadu,15 February 2026,16,19.6,3.6,2020_HWAY_161108_1,19.6,5.9,3.15
R406,Mayiladuthurai - Muthupet Road,MD-256,MDR,TIRUVARUR,Tamil Nadu,28 September 2025,69,72.6,3.6,2020_HWAY_162035_1,36.5,11.1,6.4
R407,Thirumathikunnam Railway Feeder Road,MD-466,MDR,TIRUVARUR,Tamil Nadu,10 June 2025,0,2.6,2.6,2020_HWAY_162060_1,3.1,0.9,0.65
R408,Mayiladuthurai - Muthupet Road,MD-1054,MDR,TIRUVARUR,Tamil Nadu,22 March 2026,91.8,94.2,2.4,2023_HWAY_324812_1,32.4,9.8,8.2
R409,Thirukkannamangai - Ammaiyappan Road,MD-1274,MDR,TIRUVARUR,Tamil Nadu,05 October 2025,0,2.4,2.4,2021_HWAY_187488_1,9.2,2.7,1.15
R410,Pappanadu - Madukkur - Perugavalthan Road,MD-778,MDR,TIRUVARUR,Tamil Nadu,17 January 2026,24.8,26.45,1.65,2020_HWAY_166512_1,19.4,5.9,3.1
R411,Velanganni - Thiruthuraipoondi Road,MD-544,MDR,TIRUVARUR,Tamil Nadu,13 February 2026,38.8,40.2,1.4,2020_HWAY_162065_1,28.2,8.4,4.2
R412,Mannargudi - Thiruthuraipoondi Road,MD-246,MDR,TIRUVARUR,Tamil Nadu,26 September 2025,0,1.4,1.4,2020_HWAY_162052_1,26.5,7.9,5.6
R413,Pattukkottai - Muthupet Road,MD-1055,MDR,TIRUVARUR,Tamil Nadu,08 May 2026,65.9,67,1.1,2023_HWAY_324815_1,14.8,4.4,2.95
R414,Bharami Burning Ghat to Vijayapuram Regulator Road,MD-59,MDR,TIRUVARUR,Tamil Nadu,20 November 2025,0,0.6,0.6,2020_HWAY_162022_1,4.6,1.3,0.9
R415,Koradachery Railway Feeder Road,MD-183,MDR,TIRUVARUR,Tamil Nadu,02 February 2026,0,0.4,0.4,2020_HWAY_162032_1,2.8,0.85,0.5
R416,Ayothiyapattinam - Belur - Kilakkadu Road,MD-1044,MDR,SALEM,Tamil Nadu,16 August 2025,0,54.6,54.6,2020_HWAY_160495_1,3.23,0.806,4.8
R417,Gajalnaickenpatty - Panamarathupatty - Seshanchavadi Road,MD-594,MDR,SALEM,Tamil Nadu,29 March 2026,0,38.09,38.09,2020_HWAY_160114_1,21.4,6.4,3.15
R418,Yercaud Loop Road,MD-563,MDR,SALEM,Tamil Nadu,11 December 2025,0,33.6,33.6,2020_HWAY_160085_1,14.8,4.4,2.4
R419,Thedavoor - Thammampatty Road,MD-455,MDR,SALEM,Tamil Nadu,23 June 2025,0,24.6,24.6,2020_HWAY_160042_1,16.5,4.9,5.1
R420,Kuppanur - Kottachedu - Valavanthi Road,MD-845,MDR,SALEM,Tamil Nadu,05 April 2026,0,18.6,18.6,2021_HWAY_180112_1,18.2,5.4,3.65
R421,Shevapet - Elampillai Road,MD-421,MDR,SALEM,Tamil Nadu,18 October 2025,0,17.2,17.2,2020_HWAY_160032_1,22.6,6.8,1.75
R422,Puthiragoundampalayam - Edapatty Road (via Panmadal),MD-669,MDR,SALEM,Tamil Nadu,31 January 2026,0,14.6,14.6,2020_HWAY_160138_1,13.4,4.1,2.3
R423,Kattukottai - Sadasivapuram - Thidavour Road,MD-841,MDR,SALEM,Tamil Nadu,14 September 2025,0,14,14,2021_HWAY_180110_1,12.8,3.8,1.95
R424,Thalaivasal - Veeraganur Road,MD-701,MDR,SALEM,Tamil Nadu,27 May 2026,0,13,13,2020_HWAY_160195_1,15.5,4.6,3.4
R425,Thalaivasal - Govindampalayam Road,MD-848,MDR,SALEM,Tamil Nadu,09 January 2026,0,11.92,11.92,2021_HWAY_180122_1,11.9,3.5,1.8
R426,Suramangalam - Tharamangalam Road,MD-439,MDR,SALEM,Tamil Nadu,21 March 2026,0,11.1,11.1,2020_HWAY_160038_1,24.2,7.2,4.35
R427,Valapady - Thimmanaickenpatty Road,MD-530,MDR,SALEM,Tamil Nadu,04 November 2025,0,10.6,10.6,2020_HWAY_160092_1,14.6,4.3,2.15
R428,Mallur - Veerapandy Road,MD-1173,MDR,SALEM,Tamil Nadu,17 February 2026,0,9.725,9.725,2021_HWAY_180178_1,9.8,2.9,1.9
R429,Salem - Veeranam Road,MD-675,MDR,SALEM,Tamil Nadu,29 September 2025,0.8,10.4,9.6,2020_HWAY_160140_1,16.4,4.9,3.6
R430,Pudupalayam - Ponnarampatty Road,MD-844,MDR,SALEM,Tamil Nadu,12 June 2025,0,7.4,7.4,2021_HWAY_180111_1,14.2,4.2,2.45
R431,Yercaud - Vaniyar Road,MD-561,MDR,SALEM,Tamil Nadu,25 April 2026,0,7.2,7.2,2020_HWAY_160082_1,11.6,3.4,2.1
R432,Nalikkalpatty - Uthamasolapuram Road,MD-850,MDR,SALEM,Tamil Nadu,14 February 2026,0,5.93,5.93,2021_HWAY_180125_1,9.4,2.8,1.65
R433,Manjini - Gangavalli Road,MD-846,MDR,SALEM,Tamil Nadu,27 September 2025,0,5.8,5.8,2021_HWAY_180115_1,13.8,4.1,2.3
R434,Kakkapalayam - Chinnappampatty Road,MD-134,MDR,SALEM,Tamil Nadu,09 May 2026,0,5.6,5.6,2020_HWAY_160028_1,16.5,4.9,3.85
R435,Malayalapatty - Thammampatty Road (via Ulipuram),MD-852,MDR,SALEM,Tamil Nadu,21 November 2025,4.35,9.9,5.55,2021_HWAY_180132_1,18.4,5.6,4.1
R436,Hasthampatti - Kannankurichi Road,MD-842,MDR,SALEM,Tamil Nadu,03 February 2026,0,5.4,5.4,2021_HWAY_180110_1,8.5,2.5,1.45
R437,Nagalur - Puthur Road,MD-282,MDR,SALEM,Tamil Nadu,17 August 2025,0,3.6,3.6,2020_HWAY_160060_1,12.2,3.6,1.7
R438,Suramangalam - Omalur Road (via Muthanaickenpatty),MD-696,MDR,SALEM,Tamil Nadu,30 March 2026,0,3.2,3.2,2020_HWAY_160155_1,21.4,6.4,3.15
R439,Attaiyampatti - Masakkalipatti Road,MD-46,MDR,SALEM,Tamil Nadu,12 December 2025,0,3.2,3.2,2020_HWAY_160018_1,11.1,3.3,1.25
R440,Krishnapuram - Poolampady - Kallapatty - Veeraganur Road,MD-819,MDR,SALEM,Tamil Nadu,24 June 2025,18.8,21.8,3,2021_HWAY_198112_1,16.8,5.2,2.35
R441,Alagapuram Road,MD-996,MDR,SALEM,Tamil Nadu,06 April 2026,0,2.6,2.6,2023_HWAY_304812_1,4.2,1.3,0.95
R442,Bauxite Mines Road,MD-55,MDR,SALEM,Tamil Nadu,19 October 2025,0,2,2,2020_HWAY_160022_1,8.5,2.6,1.1
R443,Town Railway Station Road,MD-725,MDR,SALEM,Tamil Nadu,01 February 2026,0,1.275,1.275,2020_HWAY_160175_1,3.1,0.9,0.75
R444,Kakapalayam - Attamyapatty Road,MD-133,MDR,SALEM,Tamil Nadu,15 September 2025,4,5.2,1.2,2020_HWAY_160025_1,12.4,3.7,2.2
R445,Pension Line Road,MD-655,MDR,SALEM,Tamil Nadu,28 May 2026,0,0.93,0.93,2020_HWAY_160124_1,2.9,0.85,0.85
R446,Road Branching from Km.2/10 of Arisipalayam Cherring Cross,MD-673,MDR,SALEM,Tamil Nadu,10 January 2026,0,0.3,0.3,2020_HWAY_160132_1,5.4,1.6,0.9
R447,Solakadu - Semmedu - Vilaram - Arapleswarar Koil - Semmedu Road,MD-690,MDR,NAMAKKAL,Tamil Nadu,22 March 2026,0,43.2,43.2,2020_HWAY_162115_1,24.6,7.4,4.9
R448,Solakadu - Mullukurichi Road (via Kulivalavu),MD-1237,MDR,NAMAKKAL,Tamil Nadu,05 November 2025,0,38.428,38.428,2021_HWAY_182432_1,18.9,5.6,3.15
R449,Tiruchengode - Komarapalayam Road,MD-726,MDR,NAMAKKAL,Tamil Nadu,12 February 2026,0,23.4,23.4,2020_HWAY_162162_1,26.5,7.9,5.8
R450,Nallur - Kabilarmalai - Pandamangalam Road,MD-1234,MDR,NAMAKKAL,Tamil Nadu,25 September 2025,0,19,19,2021_HWAY_182410_1,18.8,5.7,2.6
R451,Velagoundampatty - Elur - Puduchatram Road,MD-1236,MDR,NAMAKKAL,Tamil Nadu,08 May 2026,0,16.66,16.66,2021_HWAY_182426_1,21.4,6.4,3.4
R452,Suriyagoundampalayam - Elachipalayam Road (via Ramapuram),MD-1238,MDR,NAMAKKAL,Tamil Nadu,20 November 2025,0,16.61,16.61,2021_HWAY_182442_1,14.2,4.3,1.95
R453,Mettala - Mullukurichi - Periyakombai Road,MD-853,MDR,NAMAKKAL,Tamil Nadu,02 February 2026,0,16.3,16.3,2021_HWAY_182112_1,16.5,4.9,4.1
R454,Velur - Mohanur Road,MD-547,MDR,NAMAKKAL,Tamil Nadu,16 August 2025,0,16.2,16.2,2020_HWAY_162085_1,22.4,6.8,3.65
R455,Rasipuram - Pattanam - Pudupatti Road,MD-856,MDR,NAMAKKAL,Tamil Nadu,29 March 2026,1.6,16.4,14.8,2021_HWAY_182122_1,13.6,4.1,2.45
R456,Vaiyappamalai - Velagoundampatty Road,MD-857,MDR,NAMAKKAL,Tamil Nadu,11 December 2025,0,14.675,14.675,2021_HWAY_182125_1,15.8,4.7,2.1
R457,Paramathy - Jedarpalayam Road,MD-998,MDR,NAMAKKAL,Tamil Nadu,23 June 2025,0,14.4,14.4,2023_HWAY_304818_1,12.5,3.8,1.8
R458,Velagoundampatti - Maniyanur Road (via Serukalai),MD-1233,MDR,NAMAKKAL,Tamil Nadu,05 April 2026,0,14,14,2021_HWAY_182395_1,11.9,3.5,1.65
R459,Mohanur - Valayapatti Road,MD-270,MDR,NAMAKKAL,Tamil Nadu,18 October 2025,0,13.6,13.6,2020_HWAY_162042_1,9.4,2.8,2.25
R460,Mavureddy - S. Pudupalayam Road,MD-1232,MDR,NAMAKKAL,Tamil Nadu,31 January 2026,0,13.6,13.6,2021_HWAY_182388_1,11.2,3.3,1.3
R461,Mallasamuthiram - Vaiyappamalai Road,MD-858,MDR,NAMAKKAL,Tamil Nadu,14 September 2025,0,12.275,12.275,2021_HWAY_182132_1,14.6,4.4,2.85
R462,Muthalaipatty Pudur - Kalnaickanur Road,MD-1176,MDR,NAMAKKAL,Tamil Nadu,27 May 2026,0,11.3,11.3,2021_HWAY_182178_1,8.9,2.6,1.4
R463,Gandhipuram - Karavalli (via Ramanathapurampudur) Road,MD-1235,MDR,NAMAKKAL,Tamil Nadu,09 January 2026,0,11,11,2021_HWAY_182418_1,13.4,3.9,1.15
R464,Rasipuram Bypass Road,N/A,MDR,NAMAKKAL,Tamil Nadu,21 March 2026,2.8,13.675,10.875,2022_HWAY_254815_1,28.5,8.4,5.2
R465,Chittalandur - Jedarpalayam Road,MD-854,MDR,NAMAKKAL,Tamil Nadu,04 November 2025,0,10,10,2021_HWAY_182115_1,15.2,4.6,2.3
R466,Puthuchathiram - Govinthampalayam - Singalanthapuram Road,MD-1177,MDR,NAMAKKAL,Tamil Nadu,17 February 2026,0,9.82,9.82,2021_HWAY_182182_1,16.4,4.9,1.85
R467,Attaiyampatti - Masakkalipatti Road,MD-46,MDR,NAMAKKAL,Tamil Nadu,13 February 2026,3.2,12.8,9.6,2020_HWAY_160018_1,11.1,3.3,1.25
R468,Vadugapatty - Alanganatham Road,MD-1178,MDR,NAMAKKAL,Tamil Nadu,26 September 2025,0,8.4,8.4,2021_HWAY_182188_1,7.51,0.01,1.6
R469,Pudukottai - Valayapatty Road,MD-1179,MDR,NAMAKKAL,Tamil Nadu,08 May 2026,0,8.3,8.3,2021_HWAY_182195_1,12.3,3.6,2.15
R470,Mohanur - Oruvandur Road,MD-999,MDR,NAMAKKAL,Tamil Nadu,20 November 2025,0,7.6,7.6,2023_HWAY_304822_1,8.5,2.5,0.9
R471,Namagiripettai - Ariyagoundampatti - Kalkurichi Privu Road,MD-855,MDR,NAMAKKAL,Tamil Nadu,02 February 2026,0,7.585,7.585,2021_HWAY_182118_1,11.4,3.4,3.1
R472,Valayapatti - Andapuram Road,MD-531,MDR,NAMAKKAL,Tamil Nadu,16 August 2025,0,7.4,7.4,2020_HWAY_173582_1,13.6,4.1,4.9
R473,Konganapuram - Vaiguntham - Kalipatty Road,MD-843,MDR,NAMAKKAL,Tamil Nadu,29 March 2026,10,17,7,2021_HWAY_180111_1,14.8,4.4,2.45
R474,Manickampalayam - Elachipalayam Road,MD-1239,MDR,NAMAKKAL,Tamil Nadu,11 December 2025,0,6.6,6.6,2021_HWAY_182456_1,16.2,4.8,2.2
R475,Malayalapatty - Thammampatty Road (via Ulipuram),MD-852,MDR,NAMAKKAL,Tamil Nadu,23 June 2025,0,4.35,4.35,2021_HWAY_180132_1,18.4,5.6,4.1
R476,Rasipuram - Attur Road,MD-402,MDR,NAMAKKAL,Tamil Nadu,05 April 2026,0,3.65,3.65,2020_HWAY_162038_1,26.5,7.9,4.4
R477,Edward Memorial (Girivalapathai) Road,MD-592,MDR,NAMAKKAL,Tamil Nadu,18 October 2025,0,3.2,3.2,2020_HWAY_160114_1,7.4,2.2,3.15
R478,Pudupalayam - Ponnarampatti Road,MD-844,MDR,NAMAKKAL,Tamil Nadu,31 January 2026,7.4,9.6,2.2,2021_HWAY_180111_1,14.2,4.2,2.45
R479,Tiruchengode Bypass Road,MD-506,MDR,NAMAKKAL,Tamil Nadu,14 September 2025,0,1.4,1.4,2022_HWAY_254820_1,38.5,11.4,6.8
R480,Denkanikottai - Anchetty - Natrampalayam Road,MD-588,MDR,KRISHNAGIRI,Tamil Nadu,27 May 2026,0,43,43,2020_HWAY_161426_1,26.4,8.1,5.75
R481,Denkanikottai - Bettamugalalam Road,MD-1251,MDR,KRISHNAGIRI,Tamil Nadu,09 January 2026,0,28.6,28.6,2021_HWAY_184245_1,19.8,5.9,3.6
R482,Kaveripattinam - Kakkangarai Road,MD-157,MDR,KRISHNAGIRI,Tamil Nadu,21 March 2026,0,27.6,27.6,2020_HWAY_174045_1,24.5,7.6,5.4
R483,Athimugam - Perandapalli - Thorapalli Road,MD-1136,MDR,KRISHNAGIRI,Tamil Nadu,04 November 2025,0,23.2,23.2,2021_HWAY_184112_1,16.2,4.8,4.25
R484,Krishnagiri - Kandhikuppam Road,MD-1134,MDR,KRISHNAGIRI,Tamil Nadu,17 February 2026,0,18.5,18.5,2021_HWAY_184110_1,11.4,3.4,2.95
R485,Krishnagiri - Kandhikuppam Road,MD-1134,MDR,KRISHNAGIRI,Tamil Nadu,14 February 2026,18.9,23,4.1,2021_HWAY_184110_1,11.4,3.4,2.95
R486,Shoolagiri - Berigai Road,MD-422,MDR,KRISHNAGIRI,Tamil Nadu,27 September 2025,0,22,22,2020_HWAY_161412_1,18.9,5.6,4.15
R487,Denkanikottai - Uddanapalli (via Kelamangalam) Road,MD-91,MDR,KRISHNAGIRI,Tamil Nadu,09 May 2026,0,21.2,21.2,2020_HWAY_161091_1,22.6,6.8,5.2
R488,Jandamedu - Puliyur Road,MD-863,MDR,KRISHNAGIRI,Tamil Nadu,21 November 2025,0,20.2,20.2,2021_HWAY_184135_1,11.8,3.5,1.4
R489,Denkanikottai - Panchapalli Road,MD-1250,MDR,KRISHNAGIRI,Tamil Nadu,03 February 2026,0,19.6,19.6,2021_HWAY_184233_1,16.4,4.9,2.85
R490,Kaveripattinam - Pochampalli Road,MD-862,MDR,KRISHNAGIRI,Tamil Nadu,17 August 2025,0,19.2,19.2,2021_HWAY_184122_1,28.2,8.4,3.1
R491,Shoolagiri - Rayakottai Road,MD-1248,MDR,KRISHNAGIRI,Tamil Nadu,30 March 2026,0,18,18,2021_HWAY_184195_1,19.5,6.1,3.65
R492,Denkanikottai - Jawalagiri - Karnataka State Limit Road,MD-1249,MDR,KRISHNAGIRI,Tamil Nadu,12 December 2025,0,17.8,17.8,2021_HWAY_184210_1,21.4,6.4,4.4
R493,Kurubarapalli - Kothakrishnapalli Road,MD-1001,MDR,KRISHNAGIRI,Tamil Nadu,24 June 2025,0,17.4,17.4,2023_HWAY_304826_1,13.6,4.1,0.95
R494,VCC Road to Bagalur - Berigai Road (via Muthali and Palavanapalli),MD-1247,MDR,KRISHNAGIRI,Tamil Nadu,06 April 2026,0,17,17,2021_HWAY_184188_1,14.2,4.3,2.15
R495,Nallur - Kakkanoor Road (via Sevaganapalli),MD-1246,MDR,KRISHNAGIRI,Tamil Nadu,19 October 2025,0,12.8,12.8,2021_HWAY_184165_1,12.5,3.8,1.9
R496,Shoolagiri - Uddanapalli Road,MD-1245,MDR,KRISHNAGIRI,Tamil Nadu,01 February 2026,0,11.25,11.25,2021_HWAY_184150_1,15.8,4.7,2.4
R497,Karimangalam - Agaram Road,MD-1244,MDR,KRISHNAGIRI,Tamil Nadu,15 September 2025,0,11,11,2021_HWAY_184142_1,14.8,4.4,1.65
R498,Kaveripattinam - Palacode Road,MD-861,MDR,KRISHNAGIRI,Tamil Nadu,28 May 2026,0,10,10,2021_HWAY_184118_1,22.4,6.8,3.85
R499,Bargur - Sinthagampalli Road,MD-1243,MDR,KRISHNAGIRI,Tamil Nadu,10 January 2026,0,9.6,9.6,2021_HWAY_184138_1,11.6,3.5,1.3
R500,Bargur - Jagadevi Road,MD-1133,MDR,KRISHNAGIRI,Tamil Nadu,22 March 2026,0,8.2,8.2,2021_HWAY_184108_1,13.5,3.9,1.75
R501,KRP Dam Approach Road,MD-193,MDR,KRISHNAGIRI,Tamil Nadu,05 November 2025,0,2.8,2.8,2020_HWAY_161193_1,7.2,2.1,0.85
R502,Hosur Town to Hosur Railway Station Road,MD-124,MDR,KRISHNAGIRI,Tamil Nadu,17 February 2026,0,2,2,2020_HWAY_161124_1,5.4,1.6,0.7
R503,Uthangarai Bypass Road,MD-517,MDR,KRISHNAGIRI,Tamil Nadu,29 September 2025,0,1.2,1.2,2022_HWAY_254825_1,26.5,7.9,4.9
R504,Pondy - Krishnagiri Road,MD-366,MDR,KRISHNAGIRI,Tamil Nadu,13 February 2026,243.045,244,0.955,2023_HWAY_314810_1,38.2,11.6,8.4
R505,Kundarapalli - Veppanapalli Road,MD-754,MDR,KRISHNAGIRI,Tamil Nadu,26 September 2025,16,16.4,0.4,2020_HWAY_161432_1,16.9,5.1,4.35
R506,Morappur - Marandahalli Road,MD-271,MDR,DHARMAPURI,Tamil Nadu,08 May 2026,0,54.4,54.4,2020_HWAY_161042_1,28.4,8.5,5.1
R507,Pappireddipatti - Morappur Road (via Pallipatti - Thenkaraikottai),MD-328A,MDR,DHARMAPURI,Tamil Nadu,20 November 2025,0,30,30,2021_HWAY_183115_1,24.6,7.3,3.65
R508,Pennagaram - Nagamarai Road,MD-654,MDR,DHARMAPURI,Tamil Nadu,02 February 2026,0,29.6,29.6,2020_HWAY_161124_1,19.8,5.9,4.8
R509,Mookanur - Harur Road,MD-777,MDR,DHARMAPURI,Tamil Nadu,16 August 2025,0,25.6,25.6,2020_HWAY_161118_1,16.5,4.9,2.9
R510,Mallapuram - Gopinathampatti Road,MD-1241,MDR,DHARMAPURI,Tamil Nadu,29 March 2026,0,24.4,24.4,2021_HWAY_183245_1,14.2,4.2,3.15
